LS,55.03233,56.54078,52.01014,53.70649,55.7494,57.63876,58.35703,59.29788,59.94951,57.64685,46.5315,42.84361,59.02159,58.66803,58.86663,55.64686,58.20675,58.5959,59.25638,55.59915,58.21957,56.46532,55.46059,54.87567,58.76126,59.95273,59.30576,54.8684,42.14499,48.56171,51.78592,50.90138,56.25999,54.28595,54.9084,59.51829,57.98502,55.40983,55.60156,58.65725,53.07355,57.24653,59.95273,56.07356,54.91475,57.62471,56.56931,55.81806,55.95588,58.61729,59.3042,58.88214,59.07178,58.86663,59.30263,58.42743,57.79615,59.29948,60.39194,59.73551
MCC,0.92494,0.89027,0.87158,0.88412,0.92181,0.97836,0.95112,0.98705,0.99255,0.93767,0.72412,0.6711,0.96418,0.98721,0.98339,0.93203,0.91339,0.96251,0.96424,0.9261,0.97236,0.94084,0.93227,0.94886,0.94303,0.98323,0.99633,0.92718,0.73324,0.8433,0.84371,0.86203,0.93909,0.92215,0.95271,0.99446,0.96482,0.94997,0.95164,0.98345,0.87507,0.97858,1.0,0.9114,0.93303,0.97642,0.95822,0.9055,0.92355,0.9683,0.99448,0.99271,0.97771,0.98339,0.99079,0.97412,0.96875,0.98891,1.0,1.0
MCCI,Very Strong,Strong,Strong,Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,Moderate,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,Strong,Strong,Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong
MCEN,0.1254,0.17203,0.19966,0.17802,0.13479,0.04085,0.08701,0.02761,0.01501,0.08697,0.27289,0.26857,0.06893,0.02344,0.02947,0.0892,0.10414,0.0642,0.06436,0.1109,0.05515,0.09238,0.10872,0.07759,0.10976,0.02782,0.00744,0.11828,0.28776,0.16696,0.18094,0.15837,0.10246,0.12015,0.07683,0.01277,0.07065,0.10255,0.09333,0.03372,0.18049,0.03861,0,0.15009,0.10989,0.04983,0.07539,0.129,0.12842,0.0587,0.01273,0.01272,0.04478,0.03199,0.01873,0.05214,0.06213,0.02337,0,0
MK,0.91354,0.94044,0.8593,0.88733,0.92847,0.96134,0.97221,0.98176,0.99255,0.95325,0.76526,0.70092,0.96947,0.97851,0.98515,0.9205,0.96507,0.96952,0.98387,0.91622,0.96372,0.93748,0.92078,0.91834,0.97508,0.99945,0.99281,0.91421,0.69914,0.80802,0.86396,0.85001,0.94077,0.90772,0.91901,0.99269,0.97002,0.92715,0.93036,0.9817,0.88619,0.95833,1.0,0.93679,0.91843,0.96448,0.9465,0.92906,0.93192,0.97355,0.99272,0.98571,0.98833,0.98515,0.9855,0.97761,0.9636,0.99245,1.0,1.0
N,16213,16212,16214,16214,16212,16212,16212,16214,16214,16214,16214,16215,16216,16212,16211,16214,16213,16214,16213,16215,16214,16213,16213,16211,16213,16212,16211,16212,16212,16212,16211,16211,16211,16211,16211,16212,16211,16211,16211,16211,16211,16211,16212,16211,16211,16211,16211,16212,16212,16213,16211,16211,16211,16211,16213,16211,16212,16211,16214,16211
NLR,0.06214,0.1565,0.11383,0.11743,0.08373,0.00364,0.06912,0.00733,0.00733,0.07698,0.31243,0.35454,0.04061,0.00364,0.01812,0.05502,0.1351,0.04398,0.05476,0.06259,0.01833,0.0548,0.05482,0.01814,0.08762,0.03273,0.0,0.05827,0.22671,0.11677,0.17429,0.12351,0.06166,0.06169,0.01089,0.00364,0.03987,0.0254,0.02539,0.0145,0.13431,0.0,0.0,0.11243,0.0508,0.01088,0.02901,0.11649,0.08373,0.03651,0.00362,0.0,0.03261,0.01812,0.00365,0.029,0.02547,0.01449,0.0,0.0
NLRI,Good,Fair,Fair,Fair,Good,Good,Good,Good,Good,Good,Poor,Poor,Good,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Fair,Fair,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
NPV,0.99895,0.99735,0.99809,0.99803,0.99858,0.99994,0.99883,0.99988,0.99988,0.99871,0.99477,0.99409,0.99932,0.99994,0.99969,0.99907,0.99772,0.99926,0.99908,0.99895,0.99969,0.99907,0.99907,0.99969,0.99852,0.99945,1.0,0.99901,0.99617,0.99802,0.99704,0.9979,0.99895,0.99895,0.99981,0.99994,0.99932,0.99957,0.99957,0.99975,0.99772,1.0,1.0,0.99809,0.99914,0.99981,0.99951,0.99803,0.99858,0.99938,0.99994,1.0,0.99945,0.99969,0.99994,0.99951,0.99957,0.99975,1.0,1.0
OC,0.93796,0.94309,0.88645,0.8893,0.92989,0.99636,0.97338,0.99267,0.99267,0.95455,0.77049,0.70683,0.97015,0.99636,0.98545,0.94505,0.96735,0.97026,0.98479,0.9375,0.98168,0.94526,0.94526,0.98188,0.97656,1.0,1.0,0.94182,0.77455,0.88364,0.86692,0.87681,0.94182,0.93841,0.98913,0.99636,0.9707,0.97464,0.97464,0.98551,0.88848,1.0,1.0,0.9387,0.94928,0.98913,0.97101,0.93103,0.93333,0.97417,0.99638,1.0,0.98889,0.98545,0.99635,0.9781,0.97455,0.9927,1.0,1.0
